id;gum;es
80;tsu;semana
81;kin kѳn tsѳstѳ;que duerman
82;tsѳstѳpe inkua;gracias a todos
83;tsѳstѳ wamiakun;hablemos todos
84;remesan utѳ tsѳstѳ mantrap;reciban remesa para comer todos
85;tsistѳ pailai alѳyu;que todos ustedes bailen en la minga
86;mayaelѳ, atwall tsistѳ mantrap;todos vamos a comer gallina
87;tsѳstѳ;todos
88;nilѳ tsѳp;punta de la lengua
89;tsѳp;punta
90;tsѳp;agudo
91;tsintatѳ pilapik kuchinkuchi;alumbrarse poco a poco
92;kѳlikpe tsѳntatѳ uñipik kѳn;el viejo anda lento
93;tsѳntatѳ;lento
94;site tsѳl;pléyades
95;kѳsapik;planeta
96;parѳ tsѳl;muchas estrellas
97;tsѳl pala ashmukѳh?;¿no viste una estrella arriba?
98;tsѳl;estrella
99;tsukul;casco
100;ñui tsukul nukllik kѳn;su uña es grandota
101;tsѳk tsѳk;muy crudo
102;tsѳk;crudo
103;tsѳ;vena
104;tsitse;capa de paja
105;tsitrѳl;fique
106;tsitrѳl;fríjol
107;tsitѳlѳ marѳp;anudar
108;tsitѳlѳ;nudo
109;tsip;monte
110;tsinik;abrigo
111;tsinap;abrigar
112;tsin utik;surcos con forma de horqueta en las tierras con pendiente fuerte
113;tsin tanap;tapar y echar tierra
114;tsin katrѳp;moldar
115;tsin mara;formación de eras
116;tsin;surco
117;tsin;era
118;kaupe nu tsin puik kѳn;en la montaña hay ortiga grande
119;tsin;ortiga
120;mish tsimwan man;el gato se comió el ratón
121;yape tsimmera netsaik kѳn;la casa está llena de ratones
122;tsimmera kauyu kualmapelѳ kѳn;los ratones viven en el monte
123;tsim trukul;diente de ratón
124;tsim le;ratonera
125;tsim;ratón
126;tsillas;enredadera
127;tsilѳ;planta secreta que debíá tener cada hogar para proteger a la familia
128;tsilichip;anudar
129;tsikpѳrѳpik kѳtѳtan;me regaló el lápiz
130;tsikpѳrѳpik;palo para escribir
131;tsikpѳrѳpik;lápiz
132;tsiklallipik kauyu watrѳtan;el carpintero hace ruido en el monte
133;tsiklallipik;carpintero
134;tsikal;homoplato
135;tsikal marai nintak putramik;hagan barbacóa oara colocar los platos
136;tsikal;barbacóa
137;tsikal;zarzo
138;truik;estos
139;truik;aquel
140;trѳpѳp;extraviar
141;trѳmpѳik;horrible
142;trѳmpѳik;mal
143;trap;hueco
144;trap;agujero
145;tѳr;claridad
146;tusrmera;planta
147;tusrmera;mata
148;tapik;bueno
149;pulѳtsik;blanquito
150;purtsik;sequito
151;tultsik;jardincito
152;puratsik;maicito
153;utsik;florecita
154;srѳl tsik;raíz
155;kamisa sѳkuaik tsik palasrѳ kѳla mekan;la camisa mojada está secandose en los arbustos
156;tsik;arbusto
157;kachui tsik;porra
158;kachui tsik;macana
159;ñui nunekpe tsiktѳka ñun kutrintin kѳn;tu hermano te pegó con un palo
160;yau tsik;casa de palo
161;tsik;vara
162;tsik;palo
163;tsik;madera
164;mish tsi;lazo para un gato
165;tsi;cuerda
166;tsi;guasca
167;tsi;lazos
168;tsetik;frío
169;tsatsѳ;esmeralda
170;tsatsѳ;colibrí
171;tsartrap amun kape pasrtrapteh?;¿vamos a lavar o a tejer?
172;nape tsartrap intrap incha pira arttrap;ya voy a lavar y a bañarme
173;nupiyu tsatrap yur;me voy a jabonar en el río
174;tsarѳp;lavar
175;tsarinuk;lavadero
176;tsantsѳntsi;alambre
177;tsantѳn;hierro
178;tsallѳp;escabar
179;tsalѳkinchip;aborrecer
180;kuchi tsal puik kѳn;el cerdo tiene manteca
181;tsal;manteca
182;ulpe ishukunan srѳpyu tsatsa;la culebra mordío la pierna de la niña y se fue
183;werape nai nunekwan tsatsin kѳn;el perro mordío a mi hermano
184;ul tsatian;me mordió el perro
185;wera kalunchi tsatian;me mordió el perro
186;yalѳk kalunchi tsatian;la lagartija negra me mordió
187;pѳlѳmmera kaulliwan tsatsan;las moscas pican los caballos
188;yalѳ akin tsatian;la hormiga negra me picó
189;tsachip;picar
190;truyu kutreik;amañado
191;trupuiwan map pasran;la tocaza se comío el frígol
192;trupap;esconder
193;truѳi;frígol
194;pir trunekutri atruar;vengo dentro de cuatro semana
195;katѳ truan atruar;vengo la otra semana
196;kana trune amtrѳ kur;vengo la otra semana
197;trumar paiamik kѳn;el preguntará pasado mañana
198;trumar;pasado mañana
199;maen frѳuezh;pepa
200;trulmera;frutas
201;trul;fruta
202;trukul masr;corazón de la uña
203;kual trukul;uña
204;dentadur;dentadura
205;kashi trukul;diente delanteros incisivos
206;nu trukul dantek;muelón
207;ѳskѳ trukul dant aѳur;diente de oro
208;trukul;diente
209;trukka;vulva
210;trualѳm;domingo
211;truite amkun;vamos juntos
212;truite;juntos
213;truik;este
214;tru marik;anteayer
215;tru marik yem;antenoche
216;trѳsrѳp;coser
217;trѳsr;afilado
218;trѳpantsik;el nombre del espíritu de la lluvia
219;tsikpѳrѳpik trѳpѳtan;se me perdió el lápiz
220;nai kachul trѳpѳtan;se perdió mi pala
221;trѳpѳp;perder
222;trѳmpѳwamap;insultar
223;trumpѳtѳ mѳk;persona fea
224;ѳshkѳkѳrѳ trumpik itrѳtan;el guarango huele mal
225;trѳmpѳik;feo
226;tril;cuchillo
227;mѳrtruntrik;que me escuche a mí
228;matrikai;coman
229;atruppe puntrap attrik;vengas a visitranos cuando vuelva
230;matrik;coma
231;trik kalus;labio
232;kan trik;una boca
233;trik;boca
234;Martape tirigun kustalyu pusran;Marta pusó el trigo en el costal
235;trigu tsulak;sopa de trigo
236;ankalpura;cáscara de trigo
237;trigu;trigo
238;tresru;piedra de afilar
239;trerѳ;podrido
240;treenchitan;así dijo
241;siertun trenchip;afirmar
242;trenchip;decir
243;tremѳpik;salado
244;trewan purustru;pasame la sal
245;tre pusrѳp;salar
246;ye kѳrѳpa makun trepa;comamos papa con ají y sal
247;tre;sal
248;trawakuchip;empujar
249;tratrѳ warayupe;en el capitulo 5
250;tratrѳ;cinco
251;unѳ kip wapen, kan trashipen kasran;la niña estaba dormida cuando otro gritó y la despertó
252;pek trat;otra leña
253;trar;leña
254;trik trapwan kur;abrir la boca
255;trik trap;hueco de la boca
256;pirѳ trap;hueco de tierra
257;putun trap;ojal
258;trap;hoyo
259;takal ishik trantrik kѳn;las hojas de repollo son duras
260;mѳimera trantrѳ tsatsѳpѳlѳ;los piojos pican duro
261;panpe trantrѳ lulѳp yan;el venado se fue muy rápido
262;trantrѳ;muy rápido
263;kilkawan aship wantrainchur;voy a leer el cuaderno
264;nape trau yakalush puik kur;tengo un rancho en la huerta
265;nai trau kulis puik kur;en mi huerta hay coles
266;nai trau wau puik kur;en mi huerta tengo arracacha
267;srusrѳpe tramai yan;la señorita se fue para la huerta
268;nai mѳskaipa kuallipuras misak pun;mi papá está trabajando en la huerta
269;waramera trauyu kep ampan;las vacas se entraron a la huerta
270;nape trau pul wetѳtraik kѳn;encontré mojojó en la huerta
271;pura tra maizge;sementera de maíz
272;tirtrap atrupen;aurora
273;tѳrtrap;amanecer
274;tѳrpatѳ;temprano
275;tѳr kapmera;ojos claros
276;tѳr;luz
277;yenn tѳpѳtak;media noche
278;tѳpѳ;mitad
279;pailѳ yu kѳtrѳmѳsr kѳn trau;quedemonos los dos en la huerta
280;nai yau;en mi casa
281;ankuchi;flor de mayo
282;kuaik umerape shauyu putran;las flores muertas están en la basura
283;umera ѳskѳilѳ kѳn;las flores son amarillas
284;upe perѳ maitik kѳn;las flores son bien bonitas
285;upe kal puik kѳn;la flor tiene espinas
286;kana u ketѳtan;me regaló una flor
287;ѳskѳ u nai kѳn;la flor amarilla es mía
288;umera;flor
289;tutuk kumarѳwwatan, sre puntrapik;cantó la rana va ha llover
290;tutuk;rana
291;tusrnunѳtsik;arbolitos
292;piñin tusr chak;campo de cedros
293;wawu tusr;Bambú
294;palanta tusr lѳl netsaik kѳn;el platanillo está lleno de cucarrones
295;palanta tusr;platanillo
296;pachik tusr;arrayán
297;mis tusr mamik tranѳpik kѳn;el ciruelo da fruto
298;illimerape tusryu putran;los pájaros están en el arból
299;ilѳpe pek tusrmera kѳn;estas son diferentes clases de arboles
300;tusrmera;arból
301;turtsik;cabecita
302;nape turiwanpa lusiwanpa pasrar;tejí una ruana y una falda
303;mamape papawei turi pasran;mamá tejió una ruena para mi papá
304;turi Karluswei;la ruana de Carlos
305;turi;ruana
306;tur shau;pelo chafado
307;tur;cabeza
308;nu tunape kittak kѳn;la loma grande está pelada
309;trammmarѳp;agujear
310;trak;estrecho
311;tragu;trago
312;katsik tѳntѳ;tobillo
313;tѳntѳ;articulación
314;tѳmpulnera;costillas
315;tѳmpul;costilla
316;tiempuik;antigüedad
317;tatishtik;angosto
318;tatasbull;abuelo
319;kachul tsik;macana de tejer
320;taptsik;hermoso
321;tasikurek;dedos
322;tasikunѳ;dedo de la mano
323;nѳmui tasik;sus manos
324;nai tasik;mi mano
325;tasik;mano
326;tasichak;palma de la mano
327;tashur;abuelo
328;taptsik;bonito
329;tapkѳmik;infiel
330;i kaullipe tapik kѳn;este caballo es bueno
331;pirap tapik kѳn;bañese bien
332;chal pirap tapik kѳn;te has bañado bien?
333;jusewai kilkape tapik kѳn;el cuaderno de jose es bonito
334;ѳ kapmerape parѳ tapik kѳn;esos ojos son muy bonitos
335;nai tashur tapik atrun;mi abuelo viene bien
336;nai nunekpe tapik kѳmѳn;mi hermano no está bien
337;pul ѳskѳ pusruk tapik kѳmѳn;el mojojó cabeciamarillo no es bueno
338;pul mantika tapik kѳn;la manteca de mojojó es buena
339;tapik;agradable
340;tapia;pared
341;Andrespe tap kuallѳmѳn;Andrés no trabaja bien
342;buen hѳmbre;tap mok
343;tap trar;buena leña
344;Tap;bien/bueno
345;tankumpal;Hueso de vaca
346;ka uñtitru?;¿Cómo esta?
347;ka kualmaku;buenos dias
348;au;hola
349;unkua pai mayelan;muchas gracias a todos ustedes
350;lutѳkuchip;abortar
351;lutѳ;feto
352;lusrѳp;amarrar
353;lusrѳmpe pulѳtik kѳn;la paloma es blanca
354;lusrѳ yawi pusruk kѳtrѳ letrapik;la carne de paloma alimenta el cerebro
355;nai lusrѳ yau warau kѳn;mi paloma está en casa
356;lusrѳ;paloma
357;yalѳ lusik;anaco negro
358;lusik;falda
359;mashura lusaik marikip;la abuela teje el anaco
360;lusik srѳik kѳn;el anaco está nuevo
361;lusik srѳik kѳn;anaco
362;nai nu nimpasr Lusia kѳn;Lucia es mi hija mayor
363;Lusia;Lucia
364;lus;túnel
365;lus chak;campo de árboles para flautas
366;lus utrѳ;tocar flauta
367;lus;flauta
368;Lurѳpantsik;Espíritu maligno que vive bajo tierra en túneles
369;lurѳ pirѳ umpuik;que viene por debajo de la tierra
370;lurѳtrap;cavidad del Luro
371;Lurѳ;Espíritu que vive bajo tierra en túneles que se parece a un puerco
372;llulah?;¿corrió?
373;lul;corrar
374;lultrap;ir a correr
375;lultrap;corramos
376;wetѳkѳntrap lulen kѳntrun;tendré que correr para alcanzarlo
377;na marik kualѳn lulik kѳn;ayer corrí
378;nampe lulamѳntrun;nosotros correremos
379;urekmerape lulan;los niños corrieron
380;lulѳp;correr
381;Luis;Luis
382;lu kalus;cáscara de yuca
383;lu;yuca
384;lѳtsѳpѳl;época de días enteros opacos y oscuros
385;kaulli lѳkѳh?;¿amarraste el caballo?
386;lѳtsѳp;atar
387;lѳtsѳp;amarrar
388;lѳtsѳmap;almorzar
389;lѳtsѳ warayupe;en el capítulo ocho
390;lѳtsѳ;ocho
391;maipe yapsrѳ kѳn lѳtsik kѳn;ese camino es largo y oscuro
392;lѳtsѳ kapmera;ojos oscuros
393;lѳtsѳ;oscuro
394;lѳtsѳ;oscuridad
395;mira lѳtsѳ unѳ pupikpe nai sѳbrina kѳn;es mi sobrina, la niña que vino esta mañana
396;mira lѳtsѳ;esta mañana
397;lѳtsѳ kutrap;madrugar
398;lѳtsѳ;temprano
399;ishik lѳsrel lѳpinsh parel;mil ochocientos ochenta y seis
400;lѳpinsh;ochenta
401;lѳntrѳl;árbol del bosque húmedo
402;lѳmѳ;espalda
403;lѳlmera kep ampan;entraron los cucarrones
404;lѳlmera pun;llegaron los cucarrones
405;lѳl pѳi nika yan;el cucarrón lleva estiércol
406;lѳlpe parѳ wantran;el cucarrón suena mucho
407;lѳl kuaik pasran;el cucarrón está muerto
408;lѳl;cucarrón
409;liun;puma
410;liun;león
411;litsiya;casa tradicional guambiana, redonda con techo empajado de forma cónica
412;lisѳ kѳtan;estoy liso
413;lisѳ;liso
414;lincha unan;andan juntos
415;linchaipa uñip;andar acompañado
416;kasrak lincha;fiesta ritual
417;linchap;acompañar
418;linchap;acompañamiento
419;limeta;botella
420;lichip;amarrar un objeto
421;lep;leer
422;lentik kѳmik;no es ancho, angosto
423;lentѳ;ancho
424;lentik;falda femenima
425;lenteranѳp;agrandar
426;lentemai;hacia abajo
427;lente kitrap;vertical
428;lente;abajo
429;aian le;hormiguero
430;le;nido
431;laumera pishelѳ kѳn;los ullucos son alimentos fríos
432;lawi man;coman ulluco
433;lawi wantrap amkun;vamos a sembrar ulluco
434;ñimpe lau yanѳp putran;esþán vendiendo ulluco
435;lau;ulluco
436;latsѳ panѳntsik maramik kѳn;el lechero sirve para hacer cerco
437;latsѳ;lechero
438;latrѳkuai;mojado
439;latrѳ;tan malo
440;latratrik;ventanas opuestas de las casas guambianas tradicionales
441;latamarѳp;abalanzarse
442;pѳsr lataik;como el sol
443;kap lataik;como un ojo
444;lataik;igual
445;lata;igualdad
446;nape mentra tsalik kѳmur Flapiѳ lata kѳmѳ;yo soy menos flaco que Flavio
447;nai nusrkaimpe ñui latawei nuik kѳn;mi hijo es tan grande como el tuyo
448;nai yape mas nuik ѳn ñui lata kѳmѳ;mi casa es más grande que la tuya
449;lata lata;igual-igual
450;napie lata kѳmѳn;el mío no es igual
451;lata;igual
452;kuchi lasu;el lazo del marrano
453;lasu;lazo
454;nampe lassietekatik kipelѳ ker;dormimos hasta las siete
455;lassiete;las siete
456;lash;pene
457;larap;roncar
458;larѳntrѳ intrѳ;anda asómate
459;larap;asomarse
460;larap;ver
461;nai kek pulѳte larap wan;mi marido me mira bravo
462;nai nutsal usmai larѳtan nan;mi hermana me miró agachada
463;nape pantrѳmai larap pasrar;estoy viendo para abajo
464;larap;atalayar
465;laptsik;pene
466;lapisrukwasr;testículo
467;lapis;lápiz
468;anwan wetramne lau;mientras encuentra la plata, busque
469;lau;busque
470;trѳ lantrap amkun;debían haber ido a traer leña
471;lap;buscar
472;lantѳtik;corto
473;lantѳ;corto
474;lapis lantin kѳn;el lápiz está partido
475;lantap;partir
476;lamѳstѳ kѳn;es poco
477;lamѳtѳ;poco
478;lamѳtik misrѳp;achicarse
479;lamѳtik;chiquito
480;nѳkucha kantraptik kѳn;él también canta mucho
481;yaupe nu wain kuinkucha penѳntrap;aunque la carne está cara toca comprarla
482;ñi namik wainkucha ashchap atrumѳntrun;aunque usted está brava iré a visitarla
483;yan misak nan mapuras;la gente se fue cuando nosotros comíamos
484;nai mѳskaipa kuallipuras misak pun;cuando estaba trabajando con mi papá llegó la gente
485;chi maramikkakpene Auran visitantrap intrur;si no hay nada que hacer aquí, voy a visitar a Aura
486;chap patsѳkaik kѳpepe intrur;como ya acabé, me voy
487;trantrap pupene peptrap;si vienen por él, lo presto
488;Juan weshen kaullima pua pasrain kѳppe;cuando Juan salió el caballo estaba ahí
489;wetѳkѳntrap kuken kѳntrun;tendré que correr para alcanzarlo
490;Juan yem pun, nape kip tsupen;Juan llegó anoche cuando yo estaba durmiendo
491;Albapa Hѳrtensiapa yaun parѳp putran;Alba y Hortensia estan cortando la carne
492;na yastaumai Anapa kaullipala amper;fuimos con Ana al pueblo, a caballo
493;sre pumuatѳ nampe kѳtsѳmera nikappa amtruik kѳn;antes de que lloviera recogimos las ollas y nos vinimos
494;tappa pakareintre wara urek tsalelѳ kuinpa;te pagaron bien porque los terneros estaban gordos
495;nan murarainpa intrap;me voy porque estoy cansada
496;mira kѳtsѳ unѳ pupikpe nai sѳbrina kѳn;es mi sobrina, la niña que vino esta mañana
497;marik kualѳm pupikpe Juan kuik kѳn;era Juan, el que llegó ayer
498;atruppe puntrap attrik;venga a visitarnos cuando vuelva
499;nurantrappe mamik kѳn;para crecer hay que comer
500;Pedrѳinuk amtrapke kape Marianukte;¿vamos donde Pedro o donde María?
501;¿tsartrap amun kape pasrtrapte?;¿vamos a lavar o a tejer?
502;Luiswan metrik ashchap amun incha wentѳ Anan aschap amtrap;visitemos a Luis primero y después vamos donde Ana
503;mѳimpatѳ kafewantѳ pena sruattrik, wentѳ palapelan penѳntraptѳ;por ahora traiga café, después compramos lo demás
504;Jѳsé atrup kuik inchentѳ atrap kaiman;José quería venir pero no pudo
505;Miguel mawa kuallentѳ inchentѳ patsѳkѳ mѳn;Miguel trabajó todo el díá pero no terminó
506;inchen Mariape mamikwan nenik kѳn incha kek pumuatѳ yaik kѳn;entonces, María preparó la comida y antes de que llegara el marido se fue
507;kauwan metrik kitѳntrap inchá mѳ utrѳntrap;primero vamos a desyerbar y luego a fumigar
508;nape tsartrap intrap incha pira attrap;yo voy a lavar y a bañarme
509;kaulline Peru sѳrin kѳn, chip kѳn;dicen que Pedro se robó el caballo
510;na ashá kur, ѳ mѳkpe kaik kuik;ese hombre es malo, yo he visto
511;kemѳr mѳta, pachipik kѳn;no lo coja, está caliente
512;kutѳke penar, arѳstѳ palan;ya compré todo, faltó el arroz
513;na tsulakwan neѳp war;estoy cocinando la sopa
514;na yewan maѳr;comí la papa
515;ñipe pitsѳ mustѳan;usted tomó leche
516;kѳp;ser
517;mish nai kѳn;el gato es mío
518;parѳ kѳtan;tengo hambre
519;nape traupul wetѳtraik kѳn;encontré mujujuy en la huerta
520;trumar payamik kѳn;él preguntará pasado mañana
521;ѳsrѳ kuallchѳ intan;allá están empezando a trabajar
522;na paitrap kur;voy a preguntar
523;nampe Yastaumai amper;fuímos a Silvia
524;wera yu wan;el perro está sentado aqui
525;mѳmpe kuallipelѳ kѳn;ellos son trabajadores
526;lusik srѳik kѳn;el anaco es nuevo
527;na isruk kur;yo soy mujer
528;Inchentѳ kaiman, kakentѳ usri, mѳskey kualamik kuikutri.;Pero no se puede porque su Papá y Mamá deben trabajar.
529;Incha trekutri Intipe Yastaumei ikuintan, kausrѳ tsuntrap.;Indi quiere volver a La Campana, en Silvia Cauca Guambia
530;Inchentѳ kaiman, tre maramkei pesrѳtik kuimpa;Pero no puede porque es peligroso
531;Intipe nѳtѳ lultrap intrap kѳtrѳ isun,;Indi quiere salir a correr y a caminar solo
532;Wam kucha mawey lateik wantran NuMisak utu.;Y voces de muchas, muchas personas.
533;Meimpe Intipe mѳrikmelѳ wantrik mѳrѳpmentan.;Ahora Inti escucha ruidos extraños
534;Tretewei pishi isikwan mѳrtrap kaiman tru ishikshelan kusrupelan,;Y tampoco oye el sonido del viento que hace volar las hojas secas
535;Intipe yantѳ illinchelan mireilan mѳrtrap kaiman.;Indi dejo de escuchar el sonido de los pájaros que cantan en familia
536;Inchente, tusrmerape trenkatik kakѳn.;Pero muy pocos árboles.
537;Natsaullimera kucha,;Muchas motos
538;Nѳtrѳ amtrun nikalulѳpelѳpe,;Había muchos carros
539;Yantѳ pupen, Latrѳ nuik kui asan,;Cuando llegó, era una ciudad muy grande
540;Inchan, Tsi tratre pѳn utѳyu nukѳtraksrѳ pun.;¡Y tardó como 18 horas en llegar a Bogotá!
541;Tru Piendamѳ, Yautѳsrѳ, trukutri, NuPachisrѳmpa,;Como Piendamó, Popayán y Cali
542;Nui atriknukpe, Intipe tapshelѳ asan,;En su viaje, Indi conoció lugares bonitos
543;¡tretѳwey chispishelan tru kausrѳnkutri atrupikwan.;¡Y los ríos cristalinos que hay en la Campana!
544;¡trukutri illinchelѳ mantѳ mirapelѳkuikwan.;¡Los pájaros que cantan en familia!
545;¡incha eshkantrap namuy tap ushelan,;¡Y les contaré sobre las flores de colores!
546;¡Mamita, papá!, ¡katѳkan linchipelѳ wetѳtramѳntrape!;¡Mamá, Papá! ¡Voy a tener nuevos amigos!
547;Inchente katѳkanpurape kasrak wan, katѳkan pirѳmera nepua asam mik wan isua.;Pero también estaba feliz de conocer otra ciudad.
548;Kakentѳ yauelanpa nuy pirѳwanpa peta yamikѳpen.;Porque dejaba a su familia y su territorio
549;Srѳtѳpѳ Intipe, kѳtrѳ pesrѳkui intan,;Al principio, Inti estaba triste
550;Nukѳtraksrѳmei;Y se fueron para Bogotá
551;Intipe yantѳ nui mѳskalѳpa, kausrѳnkutri, ampan nepun,;Indi y su familia debieron salir de La Campana, en Silvia Cauca Guambia
552;Trentѳ trekѳntrap kѳmѳshta kѳpen,;Por cosa del destino
553;Trupa kasrak wan.;¡Estaba muy contento!
554;Nѳ chi marilan nuy mѳskalan eshkan,;Y contó a su familia lo que había detallado
555;Incha nak pulu wamisrape,;Se sentó alrededor del fogón
556;Yantѳ tsapѳ eshekape yamey atrun,;Después volvió a su casa
557;Yampa, lulampa, latѳkusampa intan tap puyu.;Caminaba, corría y rodaba en el pasto verde.
558;Incha truyu yana eshekѳptsun.;Y jugó por horas en ese hermoso lugar
559;Nupiyumei yan;Fue hasta allí
560;Truyukutri kѳtratruape;Se bajó del árbol
561;Incha trusrѳnkutri nu pi wan asan;Y vio un río cristalino
562;Kan kualѳm Intipe tusryu nepian;Un día Indi se subió a un árbol
563;Trukutri tusryu nepiamikwan.;Y subirse a los árboles.
564;Umeran mailѳ kѳtashchap asamikwan,;Ver los colores de las flores
565;Intipe chulikѳn katsika yamikwanpa, lulamikwanpa,;A Indi le gustaba caminar y correr
566;Isikpe pala kusrun pirau warap ishikwan.;Que hace volar las hojas secas.
567;Inchen, Isikucha mѳrѳ itsan;Y se escucha el sonido del viento
568;Truyupe illimera miran kanpalatѳ;Allí, los pájaros cantan en familia
569;Tru Yastaukutri, kausrѳ teisrѳ.;Llamado La Campana, en Silvia Cauca Guambia
570;nti pe nui pirau tsupikuikѳn;Indi vivía en su territorio
571;Kѳshempete pa waminta.;Y en el río se va a bañar.
572;Kausre pirawan un pisuyu;Indi se irá para el Cauca
573;¡Nepuntrun, nepuntrun!;¡Si se puede si se puede!
574;Indi piakuintan;Indi quiere soñar
575;Kausre uñ – men;Indi ya no está en el Cauca.
576;Indi pe (bis);Indi (bis)
577;Nuketrak unan;Está en Bogotá
578;Nupisuyu pira – kuintan;Y bañarse en el río.
579;Indi tusryu nepi-kuintan;Indi quiere subir a un árbol
580;¡Keimantrun, keimantrun!;¡No se puede, no se puede!
581;Indi wepikuintan;Indi quiere salir solo
582;Indi lurtreintan;Indi quiere correr
583;Pishinte, lutѳ kutri namuy pirѳwan untawamikwan kusrenan.;Fue a amar la naturaleza y a vivir en paz.
584;Inchente, pesanankeikwan kusrenanѳpe,;Pero lo más importante que aprendieron
585;Tap yampu waramiwan eshkan;Les enseñó la sabiduría del ser.
586;Chish mѳsik kallimpe,;Y Kallim, espíritu de la mujer
587;Namuy pѳtѳkatanwan untaramikwan.;Y a amar la naturaleza.
588;Lata lata wan kusrenanan;Les enseñó a gobernarse a sí mismos
589;Chish mѳsik, pishimisakpe;Pishimisak, espíritu del hombre
590;Tretѳwey chi kusrenanamikwan;Sus enseñanzas.
591;Ketan tru tata Illimpanpa mama Kestsinpa, Kusrenanan pa urek wan;Nuestros espíritus mayores Les regalaron a Illimpi y a Keltsi
592;Shur merape latrѳ nuik;Illimpi y Keltsi, su esposa.
593;Kan mѳk unѳpa ishuk unѳpa pѳrtsiyu kitrik,;Una niña y un niño enchumbados
594;Namuy pirѳ usri kalankarun,;La naturaleza hizo nacer
595;Tru piyu kutrimpe;Y de este río
596;Tѳr pilap pishik,;De aguas cristalinas
597;Tru kѳshѳmpѳtѳyu kutrinpe kan tap pishik kalan,;Del arco iris nació un río hermoso
598;Truyukutrimpe kѳshѳmpѳtѳ, kalawa pasramisran.;Y su danza hizo que apareciera el arco iris.
599;Yantѳ kantѳ misrak pѳtѳkatan pailap lateitan.;Se unieron y danzaban en círculo
600;Tru par nѳtrѳ pisumera nimpe pa Piendamѳ pa;Las aguas de Ñimbre y Piendamó
601;Trek utrѳ amtrupe, par nѳtrѳ pimeran kantѳ maran,;Un derrumbe en forma de dos ríos que se juntan.
602;Incha, Nѳtrѳ utrѳmera wetrua amtruikѳn;Ocasionando un gran derrumbe
603;Yantѳ welalula chikѳpikwan srua purayeikѳn,;Que se inundaron y se desbordaron
604;Pisumera kѳtrѳ netsawa,;Se llenaron tanto, tanto de agua
605;Trukutri namuy mѳskey Piendamѳ pisuyu kutrimpa.;Y nuestro padre, la laguna Piendamó
606;Tru namuy usri Ñimpi kutri atruwa,;Nuestra madre, la laguna Ñimbe
